Time,VAV_1:DesPer 1:Des Heat Mass Flow [kg/s],VAV_1:DesPer 1:Des Heat Cap [W],VAV_1:DesPer 1:Des Cool Mass Flow [kg/s],VAV_1:DesPer 1:Des Sens Cool Cap [W],VAV_1:DesPer 1:Des Tot Cool Cap [W],VAV_1:DesPer 2:Des Heat Mass Flow [kg/s],VAV_1:DesPer 2:Des Heat Cap [W],VAV_1:DesPer 2:Des Cool Mass Flow [kg/s],VAV_1:DesPer 2:Des Sens Cool Cap [W],VAV_1:DesPer 2:Des Tot Cool Cap [W],VAV_2:DesPer 1:Des Heat Mass Flow [kg/s],VAV_2:DesPer 1:Des Heat Cap [W],VAV_2:DesPer 1:Des Cool Mass Flow [kg/s],VAV_2:DesPer 1:Des Sens Cool Cap [W],VAV_2:DesPer 1:Des Tot Cool Cap [W],VAV_2:DesPer 2:Des Heat Mass Flow [kg/s],VAV_2:DesPer 2:Des Heat Cap [W],VAV_2:DesPer 2:Des Cool Mass Flow [kg/s],VAV_2:DesPer 2:Des Sens Cool Cap [W],VAV_2:DesPer 2:Des Tot Cool Cap [W],VAV_3:DesPer 1:Des Heat Mass Flow [kg/s],VAV_3:DesPer 1:Des Heat Cap [W],VAV_3:DesPer 1:Des Cool Mass Flow [kg/s],VAV_3:DesPer 1:Des Sens Cool Cap [W],VAV_3:DesPer 1:Des Tot Cool Cap [W],VAV_3:DesPer 2:Des Heat Mass Flow [kg/s],VAV_3:DesPer 2:Des Heat Cap [W],VAV_3:DesPer 2:Des Cool Mass Flow [kg/s],VAV_3:DesPer 2:Des Sens Cool Cap [W],VAV_3:DesPer 2:Des Tot Cool Cap [W]
00:10:00,1.313795E+00,0.000000E+00,1.313795E+00,1.256678E+04,4.250924E+04,2.251155E+00,4.519742E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.256678E+04,4.250924E+04,2.367447E+00,4.469565E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.466568E+00,1.573270E+04,4.617098E+04,3.382608E+00,4.031394E+04,1.313795E+00,0.000000E+00,0.000000E+00
00:20:00,1.313795E+00,0.000000E+00,1.313795E+00,1.242552E+04,4.197554E+04,2.251273E+00,4.519691E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.242552E+04,4.197554E+04,2.367643E+00,4.469480E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.470783E+00,1.567712E+04,4.573173E+04,3.385418E+00,4.030181E+04,1.313795E+00,0.000000E+00,0.000000E+00
00:30:00,1.313795E+00,0.000000E+00,1.313795E+00,1.228426E+04,4.144423E+04,2.251389E+00,4.519641E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.228426E+04,4.144423E+04,2.367839E+00,4.469396E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.473206E+00,1.558702E+04,4.525475E+04,3.388129E+00,4.029010E+04,1.313795E+00,0.000000E+00,0.000000E+00
00:40:00,1.313795E+00,0.000000E+00,1.313795E+00,1.214300E+04,4.091532E+04,2.251504E+00,4.519592E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.214300E+04,4.091532E+04,2.368034E+00,4.469312E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.474230E+00,1.547000E+04,4.474902E+04,3.390747E+00,4.027880E+04,1.313795E+00,0.000000E+00,0.000000E+00
00:50:00,1.313795E+00,0.000000E+00,1.313795E+00,1.200174E+04,4.038878E+04,2.251617E+00,4.519543E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.315301E+00,1.203565E+04,4.042868E+04,2.368228E+00,4.469228E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.474154E+00,1.533184E+04,4.422139E+04,3.393277E+00,4.026788E+04,1.313795E+00,0.000000E+00,0.000000E+00
01:00:00,1.313795E+00,0.000000E+00,1.313795E+00,1.186048E+04,3.986460E+04,2.251728E+00,4.519495E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.322434E+00,1.205479E+04,4.009295E+04,2.368421E+00,4.469145E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.473213E+00,1.517699E+04,4.367707E+04,3.395722E+00,4.025732E+04,1.313795E+00,0.000000E+00,0.000000E+00
01:10:00,1.313795E+00,0.000000E+00,1.313795E+00,1.176631E+04,3.951646E+04,2.251842E+00,4.519446E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.330750E+00,1.214694E+04,3.996316E+04,2.368625E+00,4.469057E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.473586E+00,1.509497E+04,4.333854E+04,3.398103E+00,4.024704E+04,1.313795E+00,0.000000E+00,0.000000E+00
01:20:00,1.313795E+00,0.000000E+00,1.313795E+00,1.167214E+04,3.916935E+04,2.251955E+00,4.519397E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.338662E+00,1.222944E+04,3.982248E+04,2.368827E+00,4.468970E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.474647E+00,1.502793E+04,4.301895E+04,3.400408E+00,4.023709E+04,1.313795E+00,0.000000E+00,0.000000E+00
01:30:00,1.313795E+00,0.000000E+00,1.313795E+00,1.157797E+04,3.882329E+04,2.252067E+00,4.519349E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.346214E+00,1.230341E+04,3.967228E+04,2.369028E+00,4.468883E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.475884E+00,1.496519E+04,4.270580E+04,3.402640E+00,4.022745E+04,1.313795E+00,0.000000E+00,0.000000E+00
01:40:00,1.313795E+00,0.000000E+00,1.313795E+00,1.148379E+04,3.847825E+04,2.252177E+00,4.519301E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.353460E+00,1.237016E+04,3.951413E+04,2.369228E+00,4.468796E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.476821E+00,1.489665E+04,4.238727E+04,3.404803E+00,4.021811E+04,1.313795E+00,0.000000E+00,0.000000E+00
